feature,coefficient,abs_coefficient
cat__zip_code_11412,0.22484461213851223,0.22484461213851223
cat__zip_code_11414,0.2247146647211787,0.2247146647211787
cat__contributing_factor_vehicle_1_aggressive driving/road rage,-0.22420427205662974,0.22420427205662974
cat__zip_code_10011,-0.22237383268542768,0.22237383268542768
cat__zip_code_10022,0.22134775326064016,0.22134775326064016
cat__zip_code_10176,0.22048188720305914,0.22048188720305914
cat__vehicle_type_code_5_uhaul trai,-0.21815324737125677,0.21815324737125677
cat__zip_code_11249,-0.21725967387672881,0.21725967387672881
cat__contributing_factor_vehicle_2_unspecified,-0.21562262187740344,0.21562262187740344
cat__zip_code_10033,0.2154842291216312,0.2154842291216312
cat__zip_code_11691,-0.2136218945354732,0.2136218945354732
cat__zip_code_group_11691,-0.21362189453547314,0.21362189453547314
cat__vehicle_type_code_3_unknown,-0.2109757152057871,0.2109757152057871
cat__vehicle_type_code_2_sedan,0.2101107842354411,0.2101107842354411
cat__contributing_factor_vehicle_4_driverless/runaway vehicle,0.20938017999780864,0.20938017999780864
cat__contributing_factor_vehicle_5_driverless/runaway vehicle,0.20938017999780864,0.20938017999780864
cat__zip_code_11354,-0.2089334744801967,0.2089334744801967
cat__zip_code_10105,0.20876574044252838,0.20876574044252838
cat__contributing_factor_vehicle_1_driver inexperience,-0.20843773587147793,0.20843773587147793
cat__zip_code_10003,0.20739226900867314,0.20739226900867314
cat__contributing_factor_vehicle_3_driver inattention/distraction,0.20720570064528746,0.20720570064528746
cat__zip_code_11232,0.20489322918193942,0.20489322918193942
cat__zip_code_10464,0.20462432820898396,0.20462432820898396
cat__zip_code_11370,0.2043121410294363,0.2043121410294363
cat__contributing_factor_vehicle_1_pedestrian/bicyclist/other pedestrian error/confusion,-0.2023194101600362,0.2023194101600362
cat__contributing_factor_vehicle_2_traffic control disregarded,0.20173157200659975,0.20173157200659975
cat__contributing_factor_vehicle_4_passing or lane usage improper,-0.20104297769339002,0.20104297769339002
cat__zip_code_11378,0.20080107227519295,0.20080107227519295
cat__contributing_factor_vehicle_2_passing too closely,-0.1999827427622711,0.1999827427622711
cat__zip_code_10310,0.19914627694152268,0.19914627694152268
cat__zip_code_11222,-0.19908936885186734,0.19908936885186734
cat__zip_code_group_11222,-0.19908936885186734,0.19908936885186734
cat__zip_code_11236,0.19895131830089266,0.19895131830089266
cat__zip_code_group_11236,0.19895131830089266,0.19895131830089266
cat__contributing_factor_vehicle_3_traffic control disregarded,0.19597728635923145,0.19597728635923145
cat__zip_code_11210,0.19321263348114756,0.19321263348114756
cat__zip_code_group_11210,0.19321263348114756,0.19321263348114756
cat__zip_code_11251,0.19207392756997768,0.19207392756997768
cat__contributing_factor_vehicle_4_following too closely,-0.19200373042047666,0.19200373042047666
cat__contributing_factor_vehicle_2_unsafe lane changing,-0.18788874196461813,0.18788874196461813
cat__contributing_factor_vehicle_3_eating or drinking,-0.18731152866996184,0.18731152866996184
num__driver_female_count,-0.1869428003491847,0.1869428003491847
num__vehicle_occupants_valid_count,0.18601411837840892,0.18601411837840892
cat__vehicle_type_code_1_sedan,0.18583756860768472,0.18583756860768472
cat__borough_unknown,-0.1856258984489231,0.1856258984489231
cat__zip_code_11369,0.18513973758650007,0.18513973758650007
cat__zip_code_10010,0.18507604652142895,0.18507604652142895
cat__contributing_factor_vehicle_2_turning improperly,-0.1848087162394364,0.1848087162394364
cat__vehicle_type_code_4_ambulance,0.18441751082426208,0.18441751082426208
cat__contributing_factor_vehicle_2_pedestrian/bicyclist/other pedestrian error/confusion,0.18388307594933556,0.18388307594933556
cat__vehicle_type_code_4_e-scooter,-0.18316410198534946,0.18316410198534946
cat__contributing_factor_vehicle_2_following too closely,-0.1827725170137775,0.1827725170137775
cat__vehicle_type_code_2_station wagon/sport utility vehicle,0.18243187418861664,0.18243187418861664
cat__zip_code_11356,-0.18192367202111911,0.18192367202111911
cat__vehicle_type_code_5_station wagon/sport utility vehicle,-0.18173618148419662,0.18173618148419662
cat__zip_code_11230,0.1814962639655939,0.1814962639655939
cat__zip_code_group_11230,0.1814962639655939,0.1814962639655939
cat__vehicle_type_code_5_ford super,0.17906359780278794,0.17906359780278794
cat__vehicle_type_code_3_limo,0.17512848206448833,0.17512848206448833
cat__zip_code_11104,-0.17439047011844142,0.17439047011844142
cat__zip_code_11203,0.17353130100566524,0.17353130100566524
cat__zip_code_group_11203,0.17353130100566524,0.17353130100566524
cat__zip_code_10031,0.17162300223095,0.17162300223095
cat__borough_staten island,0.17146821731112896,0.17146821731112896
cat__zip_code_10307,-0.17104682767593862,0.17104682767593862
cat__zip_code_11239,0.17005584325117923,0.17005584325117923
